GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
最后生还者,THE LAST OF US,"ps3, ",Naughty Dog,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
地铁 最后的曙光,Metro: Last Light,"pc, ps3, x360, ",Deep Silver,Deep Silver,2013-05-14,false,,,,,,,,,,,,,,
最后的木头,Last Wood,"pc, ",Just Us GameLab,Just Us GameLab,最早发售 2019-08-23,true,,,,,,,,,,,,,,
去年 噩梦,Last Year: The Nightmare,"pc, ",Elastic Games,Elastic Games,最早发售 2018-12-18,false,,,,,,,,,,,,,,
万民四末,Four Last Things,"pc, ",Joe Richardson,Joe Richardson,最早发售 2017-02-23,false,,,,,,,,,,,,,,
最后的篝火,The Last Campfire,"ns, ps4, xb1, ",Hello Games,Hello Games,,,最早发售 2020-08-27,true,,,,,,,,,,,,
最后的咒语,The Last Spell,"pc, ",Ishtar Games,Gamera Game,最早发售 2021-06-03,true,,,,,,,,,,,,,,
爱上火车Last Run!!,まいてつ Last Run!!,"pc, ",Lose,Lose,最早发售 2020-10-30,true,,,,,,,,,,,,,,
英雄萨姆VR：背水一战,Serious Sam VR: The Last Hope,"pc, ",Croteam,Devolver Digital,最早发售 2017-09-20,false,,,,,,,,,,,,,,
最后人类的水下历险,The Aquatic Adventure of the Last Human,"ns, xb1, ",YCJY Games,YCJY Games,,,,,,,,,,,,,,,,
SD高达G世纪 世界,SDガンダム ジージェネレーション ワールド,"wii, psp, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,
SD高达G世纪 战争,SDガンダム ジージェネレーション ウォーズ,"wii, ps2, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,
SD高达G世纪 战魂,SDガンダム GGENERATION SPIRITS,"ps2, ",Tom Create,Bandai Namco,,,,,,,,,,,,,,,,
SD高达G世纪 交叉推进,SDガンダム GGENERATION CROSS DRIVE,"nds, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,
SD高达G世纪 携带版,SDガンダム GGENERATION PORTABLE,"psp, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,
特种部队：封锁行动,G.I. Joe: Operation Blackout,"ns, ps4, xb1, ",IguanaBee,Maximum Games,,,最早发售 2020-10-13,false,,,,,,,,,,,,
基因特工,G2 Fighter,"pc, ",Orbit Games,HeyBox Interactive,最早发售 2019-08-28,true,,,,,,,,,,,,,,
