JobName,CompanyName,WorkingArea,Salary
推荐/搜索/数据挖掘算法工程师,深圳市道通科技股份有限公司,深圳-南山区,2.5-5万/月
数据挖掘工程师,广州多益网络股份有限公司,广州-黄埔区,1.2-2.4万/月
人工智能/数据挖掘算法工程师,中国移动通信集团设计院有限公司,北京,
1141C1-资深算法工程师（数据挖掘）,平安科技（深圳）有限公司,上海-浦东新区,2-2.5万/月
数据分析挖掘工程师,深圳索信达数据技术有限公司,深圳-南山区,1.7-3万/月
数据挖掘工程师/算法工程师,联通数字科技有限公司,北京-西城区,20-30万/年
数据挖掘工程师,上海南德商贸有限公司,深圳-福田区,3-4万/月
数据挖掘工程师,联合汽车电子有限公司西安厂,西安-高新技术产业开发区,15-20万/年
高级数据挖掘工程师-上海张江-00711,上海领健信息技术有限公司,上海,1.5-2万/月
数据挖掘工程师,丹华水利环境技术（上海）有限公司,上海-徐汇区,1-2万/月
数据挖掘工程师,水木未来（北京）科技有限公司,北京-昌平区,1.5-2万/月
数据挖掘工程师-工作地址 南京,昆山炫生活信息技术股份有限公司,南京-雨花台区,1.5-2万/月
数据挖掘工程师,印孚瑟斯技术（中国）有限公司,深圳-龙岗区,2-2.5万/月
数据挖掘/数据分析（上市公司双休）,博彦科技广州有限公司,佛山,1.3-1.9万/月
数据挖掘算法工程师,苏州思萃融合基建技术研究所有限公司,苏州-相城区,2-3万/月
数据挖掘工程师,广州吴志刚品牌策划有限公司,广州-天河区,0.8-1.2万/月
Python数据挖掘工程师,上海海宇信息技术有限公司,上海-徐汇区,1.3-2.6万/月
数据挖掘工程师 (MJ000465),瞬联软件科技（北京）有限公司 CIeNET Technologies,南京-雨花台区,2-3万/月
机器人-算法工程师（数据挖掘-西安）,杭州海康威视数字技术股份有限公司,西安-高新技术产业开发区,2-2.5万/月
高级数据挖掘工程师(J12601),满帮集团,上海-长宁区,2-3.5万/月
数据挖掘工程师,宜通世纪科技股份有限公司,广州-天河区,0.6-1.2万/月
数据分析挖掘工程师(QY1wyc)(J12686),北京东方国信科技股份有限公司,北京-朝阳区,0.8-1.4万/月
数据挖掘工程师,成都傅立叶电子科技有限公司,成都,1-2万/月
数据挖掘工程师,南京迈特望科技股份有限公司,长春-高新技术产业开发区,0.6-1万/月
