JobName,CompanyName,WorkingArea,Salary
大数据与人工智能算法工程师,北京东晨联创科技股份有限公司,北京-海淀区,1.2-2万/月
总经理助理（人工智能方向）,广东毓秀集团有限公司,广州-天河区,0.8-1.8万/月
人工智能算法工程师,深圳市诺维尔科技互联网有限公司,深圳-龙岗区,1-1.5万/月
人工智能技术储备实习生/双休,北京市圣瑞物业服务有限公司西安市第三分公司,深圳-龙岗区,6-8千/月
人工智能开发工程师,日立楼宇技术(广州)有限公司,广州-黄埔区,1.5-2万/月
图像算法工程师（医疗领域/深度学习/人工智能）,上海北昂医药科技股份有限公司,上海-宝山区,20-40万/年
人工智能测试助理（双休）,上海裴宇网络服务有限公司,深圳-南山区,0.8-1万/月
人工智能训练师-帝派,北京神州泰岳软件股份有限公司,北京-朝阳区,0.6-1.2万/月
保险咨询顾问（在线咨询+AI人工智能）,广州盈尚信息科技有限公司,广州-海珠区,0.8-1万/月
人工智能训练师主管,艾格拉信息咨询（北京）有限公司,上海-杨浦区,1-1.4万/月
Python人工智能,上海皖缘企业登记代理有限公司,上海-浦东新区,0.8-1万/月
人工智能（语料）训练师,毕马威全球商务服务（广东）有限公司,佛山-南海区,4-5千/月
人工智能算法工程师,阿米华晟数据科技（江苏）有限公司,合肥-蜀山区,1-1.5万/月
人工智能研发工程师,广州满翼贸易有限公司,广州-天河区,1.5-2.5万/月
卫星互联网人工智能应用技术研究中心副主任,湖南北斗微芯数据科技有限公司,长沙-岳麓区,2.5-3万/月
项目经理（大数据人工智能方向）,中译语通信息科技（上海）有限公司,上海-静安区,25-30万/年
大数据解决方案经理（人工智能方向）,联通（四川）产业互联网有限公司,成都-天府新区,20-30万/年
人工智能研发工程师（图像）,南京七宝机器人技术有限公司,南京,18-36万/年
人工智能标注师,协弘企业管理（惠州）有限公司,运城,2.5-5千/月
产品经理（人工智能）,南京云问网络技术有限公司,南京-江宁区,1.5-2万/月
人工智能工程师,山东康准信息科技有限公司,济南-历城区,1-1.5万/月
人工智能研究员,长园创新技术（深圳）有限公司,深圳-南山区,1.5-3万/月
全职人工智能教师（东莞）,广州吾能学网络科技有限公司,东莞-大朗镇,4.5-6千/月
外贸业务员(智能洗地机/人工智能产品),深圳联合兴华科技有限公司,深圳-宝安区,0.8-1.6万/月
医学图像人工智能,卡本（深圳）医疗器械有限公司,深圳-宝安区,2-4万/月
人工智能工程师,广州创显科教股份有限公司,广州-番禺区,1.8-2.5万/月
销售工程师（人工智能）,东莞康耐德智能控制有限公司,东莞-南城区,1-1.5万/月
博士后（人工智能方向）,电讯盈科HKT,珠海-横琴新区,1.3-1.6万/月
人工智能工程师,江苏康众数字医疗科技股份有限公司,苏州,1.5-2.5万/月
萧山人工智能销售+双休,杭州青未广告策划有限公司,杭州-萧山区,1-1.5万/月
软件工程师（人工智能方向）,北京君正集成电路股份有限公司,合肥,1-1.5万/月
人工智能高级工程师,苏州贝康医疗器械有限公司,苏州-工业园区,3-4万/月
搜索引擎开发工程师(大数据人工智能产品)(TJ0011),万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,2-2.5万/月
人工智能技术助理,广东中恒工程机械有限公司,深圳-龙岗区,7.5-9千/月
人工智能工程师,杭州瑞普基因科技有限公司,杭州-余杭区,1.5-2.5万/月
人工智能算法工程师,上海交通大学四川研究院,成都-双流区,1.5-2万/月
人工智能项目经理,广州恒利信息科技有限公司,广州-黄埔区,1.2-2.3万/月
